snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,69207.0,94559.516,560326.94,21491.186,252253.16,0.0,1.0658258,1.5802323,-0.33854067
602.0,6.2968197,2.5,70446.0,113873.32,164260.58,26883.38,112229.19,0.0,1.9405532,0.24868293,-0.4084954
602.0,6.2968197,3.5,76405.0,1063.2357,371879.22,47613.92,92054.32,0.0,-2.7954726,-2.4555774,-1.7871481
602.0,6.2968197,4.5,89457.0,47903.66,765815.44,91749.945,64535.14,0.0,-2.6458526,-1.6580853,-2.831405
602.0,6.2968197,5.5,117161.0,1345.2039,1088080.0,121720.336,71051.09,0.0,-2.7391539,-1.6799436,-0.9509273
602.0,6.2968197,6.5,119565.0,84634.09,1068024.2,171660.67,61165.145,0.0,-2.7042396,-0.41724232,-0.8549676
602.0,6.2968197,7.5,116280.0,142946.9,1001522.3,130041.89,99870.18,0.0,-2.803041,-0.10197373,-0.8556284
602.0,6.2968197,8.5,121341.0,20407.188,897440.44,44781.06,100290.6,0.0,-3.0102637,-1.0732493,0.42443657
602.0,6.2968197,9.5,113970.0,18377.955,513138.66,244443.06,154650.95,0.0,2.9499726,-1.540133,2.8849802
602.0,6.2968197,10.5,110907.0,151903.66,203917.89,172125.05,258139.0,0.0,-0.5556597,0.1446539,-2.8036118
602.0,6.2968197,11.5,107237.0,55034.137,525647.6,162113.2,65758.5,0.0,-0.21895838,1.0330048,-3.065261
602.0,6.2968197,12.5,102469.0,72644.125,543940.56,183290.11,307420.8,0.0,-0.291695,1.6335994,-3.0233357
602.0,6.2968197,13.5,87594.0,5105.485,745522.4,287946.28,149335.75,0.0,0.012370868,1.0248559,-3.073773
602.0,6.2968197,14.5,72469.0,47197.023,697593.6,329177.94,41204.008,0.0,0.13052708,0.7958855,-1.0871053
602.0,6.2968197,15.5,62842.0,131340.66,755662.06,362722.38,131034.95,0.0,0.14512071,0.5613529,0.14198843
602.0,6.2968197,16.5,51773.0,133076.94,858993.5,487862.8,196075.56,0.0,-0.07447301,-0.03534952,-0.12125278
602.0,6.2968197,17.5,37767.0,148399.06,626417.7,287174.2,32789.316,0.0,-0.18265824,-0.24212152,-0.4708764
602.0,6.2968197,18.5,26977.0,181344.95,513351.8,131235.23,82106.086,0.0,-0.5089683,-1.1544013,-3.122455
602.0,6.2968197,19.5,20407.0,256852.17,567228.94,310298.7,135575.27,0.0,-0.70286036,-1.5007147,-2.473009
602.0,6.2968197,20.5,14946.0,255526.3,525088.9,369078.0,244772.27,0.0,-0.71222377,-1.5080914,-2.3128853
602.0,6.2968197,21.5,11350.0,230696.97,450529.94,353405.34,264190.0,0.0,-0.77421355,-1.5855712,-2.424213
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,69253.0,129594.6,542370.0,5993.193,254947.5,0.0,0.8983978,-2.854117,-0.47111946
604.0,6.2570214,2.5,70284.0,97784.76,124406.484,12854.921,161339.58,0.0,2.502591,2.177041,-0.7905538
604.0,6.2570214,3.5,76109.0,72374.0,387967.44,89757.805,101151.35,0.0,-2.6297703,2.5190637,-0.9892255
604.0,6.2570214,4.5,90571.0,33230.742,652196.8,89973.13,26866.146,0.0,-2.5084124,-2.21392,3.004824
604.0,6.2570214,5.5,115163.0,83941.195,1024815.3,53283.395,82951.88,0.0,-2.7194808,-1.7197658,2.5001864
604.0,6.2570214,6.5,124641.0,66002.12,1012055.44,134031.58,115278.734,0.0,-2.7514906,-1.4119465,3.1357732
